date,block,description,location_description,iucr,ward,year,case_number,fbi_code,domestic,beat,arrest,primary_type,:@computed_region_d9mm_jgwp,:@computed_region_43wa_7qmu,location,y_coordinate,:@computed_region_rpca_8um6,latitude,:@computed_region_awaf_s7ux,x_coordinate,longitude,:@computed_region_bdys_3d7i,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_d3ds_rm58
2012-01-01T00:00:00.000,001XX W RANDOLPH ST,DOMESTIC BATTERY SIMPLE,RESIDENCE,0486,42,2012,JC225381,08B,False,0122,False,BATTERY,,,,,,,,,,,,,
2012-01-01T00:00:00.000,010XX N SPRINGFIELD AVE,PREDATORY,RESIDENCE,0266,27,2012,HY448381,02,True,1112,False,CRIM SEXUAL ASSAULT,16,45,"{'latitude': '41.900039997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.72378279'}",1906754,5,41.900039997,41,1150193,-87.72378279,456,4299,24,66
2012-01-01T00:00:00.000,007XX E 105TH PL,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,1562,9,2012,HZ328636,17,False,0512,False,SEX OFFENSE,,,,,,,,,,,,,
2012-01-01T00:00:00.000,067XX S RIDGELAND AVE,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,1754,5,2012,HY489463,02,True,0332,False,OFFENSE INVOLVING CHILDREN,18,33,"{'latitude': '41.772460243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.582621649'}",1860569,24,41.772460243,32,1189029,-87.582621649,381,22538,39,212
2012-01-01T00:00:00.000,042XX W WASHINGTON BLVD,PREDATORY,APARTMENT,0266,28,2012,HY256449,02,False,1114,False,CRIM SEXUAL ASSAULT,16,23,"{'latitude': '41.881978364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.731251151'}",1900158,30,41.881978364,11,1148206,-87.731251151,619,21572,27,83
2012-01-01T00:00:00.000,052XX S DAMEN AVE,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,1752,16,2012,JA241826,20,True,0932,False,OFFENSE INVOLVING CHILDREN,,,,,,,,,,,,,
2012-01-01T00:00:00.000,059XX S INDIANA AVE,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,1751,20,2012,JC122968,17,True,0232,True,OFFENSE INVOLVING CHILDREN,,,,,,,,,,,,,
2012-01-01T00:00:00.000,047XX S WOOD ST,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,1754,15,2012,JB400896,02,True,0931,True,OFFENSE INVOLVING CHILDREN,,,,,,,,,,,,,
2012-01-01T00:00:00.000,021XX N LATROBE AVE,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,1751,37,2012,HY265759,20,True,2515,False,OFFENSE INVOLVING CHILDREN,6,44,"{'latitude': '41.919298855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.757234475'}",1913709,2,41.919298855,4,1141039,-87.757234475,307,22615,19,133
2012-01-01T00:00:00.000,085XX S KINGSTON AVE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,1562,7,2012,HY265863,17,True,0423,False,SEX OFFENSE,19,37,"{'latitude': '41.740069909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.562406829'}",1848815,25,41.740069909,43,1194649,-87.562406829,478,21202,42,238
2012-01-01T00:00:00.000,043XX S PAULINA ST,AGGRAVATED: OTHER,RESIDENCE,0265,15,2012,JC345163,02,True,0924,False,CRIM SEXUAL ASSAULT,,,,,,,,,,,,,
2012-01-01T00:00:00.000,010XX W CATALPA AVE,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,1752,48,2012,HY252100,20,False,2023,False,OFFENSE INVOLVING CHILDREN,2,16,"{'latitude': '41.981845169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.657135064'}",1936700,15,41.981845169,40,1168102,-87.657135064,93,22616,76,47
2012-01-01T00:00:00.000,012XX W 119TH ST,NON-AGGRAVATED,OTHER,0281,34,2012,HY266226,02,False,0524,True,CRIM SEXUAL ASSAULT,10,22,"{'latitude': '41.677661758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.652872258'}",1825866,13,41.677661758,45,1170139,-87.652872258,642,22212,50,220
