Part,OptionOn,OptionOff,Diff,
1,118.63,119.01,0.38,
2,117.34,118.51,1.17,
3,119.30,119.50,0.20,
4,119.46,118.65,-0.81,
5,118.12,118.06,-0.06,
6,117.78,118.04,0.26,
7,119.29,119.25,-0.04,
8,120.26,118.84,-1.42,
9,118.42,117.78,-0.64,
10,119.49,119.66,0.17,
11,119.03,118.66,-0.37,
12,118.74,118.88,0.14,
13,117.96,118.23,0.27,
14,118.40,118.96,0.56,
15,118.06,118.28,0.22,
16,118.69,117.46,-1.23,
17,118.20,118.25,0.05,
18,119.54,120.26,0.72,
19,118.28,120.26,1.98,
20,119.13,119.15,0.02,
21,118.82,117.66,-1.16,
22,118.76,118.41,-0.35,
23,117.83,117.55,-0.28,
24,120.28,119.78,-0.50,
25,118.45,119.27,0.82,
26,119.39,119.11,-0.28,
27,118.49,118.66,0.17,
28,118.32,118.96,0.64,
29,118.79,118.65,-0.14,
30,119.19,118.36,-0.83,
31,117.25,117.98,0.73,
32,118.66,119.26,0.60,
33,119.45,120.30,0.85,
34,118.65,118.54,-0.11,
35,117.70,118.18,0.48,
36,118.92,118.93,0.01,
37,118.99,118.77,-0.22,
38,119.86,120.16,0.30,
39,120.52,119.46,-1.06,
40,117.70,117.57,-0.13,
41,117.70,118.55,0.85,
42,120.24,120.94,0.70,
43,117.59,117.99,0.40,
44,119.05,118.70,-0.35,
45,118.67,119.06,0.39,
46,118.57,118.39,-0.18,
47,118.92,119.69,0.77,
48,120.52,118.76,-1.76,
49,118.56,118.20,-0.36,
50,118.63,119.37,0.74,
51,118.34,118.60,0.26,
52,119.40,119.22,-0.18,
53,119.93,119.62,-0.31,
54,117.55,118.26,0.71,
55,117.75,117.21,-0.54,
56,118.24,117.90,-0.34,
57,117.89,117.98,0.09,
58,118.13,118.15,0.02,
59,120.29,119.76,-0.53,
60,119.08,119.46,0.38,
61,118.77,119.07,0.30,
62,118.13,117.32,-0.81,
63,120.04,119.65,-0.39,
64,117.85,117.63,-0.22,
65,119.38,119.45,0.07,
66,119.20,119.16,-0.04,
67,119.55,119.71,0.16,
68,116.80,117.08,0.28,
69,118.08,118.23,0.15,
70,119.63,119.52,-0.11,
71,117.76,118.44,0.68,
72,118.56,118.68,0.12,
73,118.29,118.36,0.07,
74,118.38,118.44,0.06,
75,118.83,119.21,0.38,
76,119.38,118.88,-0.50,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
