DATE,HOUSTNSA
1980-01-01,73.1
1980-02-01,79.9
1980-03-01,85.1
1980-04-01,96.2
1980-05-01,91.7
1980-06-01,116.4
1980-07-01,120.1
1980-08-01,129.9
1980-09-01,138.3
1980-10-01,152.7
1980-11-01,112.9
1980-12-01,95.9
1981-01-01,84.5
1981-02-01,71.9
1981-03-01,107.8
1981-04-01,123.0
1981-05-01,109.9
1981-06-01,105.8
1981-07-01,99.9
1981-08-01,86.3
1981-09-01,84.1
1981-10-01,87.2
1981-11-01,64.6
1981-12-01,59.1
1982-01-01,47.2
1982-02-01,51.3
1982-03-01,78.2
1982-04-01,84.1
1982-05-01,98.8
1982-06-01,91.1
1982-07-01,106.8
1982-08-01,96.0
1982-09-01,106.4
1982-10-01,110.5
1982-11-01,108.9
1982-12-01,82.9
1983-01-01,91.3
1983-02-01,96.3
1983-03-01,134.6
1983-04-01,135.8
1983-05-01,174.9
1983-06-01,173.2
1983-07-01,161.6
1983-08-01,176.8
1983-09-01,154.9
1983-10-01,159.3
1983-11-01,136.0
1983-12-01,108.3
1984-01-01,109.1
1984-02-01,130.0
1984-03-01,137.5
1984-04-01,172.7
1984-05-01,180.7
1984-06-01,184.0
1984-07-01,162.1
1984-08-01,147.4
1984-09-01,148.5
1984-10-01,152.3
1984-11-01,126.2
1984-12-01,98.9
1985-01-01,105.4
1985-02-01,95.4
1985-03-01,145.0
1985-04-01,175.8
1985-05-01,170.2
1985-06-01,163.2
1985-07-01,160.7
1985-08-01,160.7
1985-09-01,147.7
1985-10-01,173.0
1985-11-01,124.1
1985-12-01,120.5
1986-01-01,115.6
1986-02-01,107.2
1986-03-01,151.0
1986-04-01,188.2
1986-05-01,186.6
1986-06-01,183.6
1986-07-01,172.0
1986-08-01,163.8
1986-09-01,154.0
1986-10-01,154.8
1986-11-01,115.6
1986-12-01,113.0
1987-01-01,105.1
1987-02-01,102.8
1987-03-01,141.2
1987-04-01,159.3
1987-05-01,158.0
1987-06-01,162.9
1987-07-01,152.4
1987-08-01,143.6
1987-09-01,152.0
1987-10-01,139.1
1987-11-01,118.8
1987-12-01,85.4
1988-01-01,78.2
1988-02-01,90.2
1988-03-01,128.8
1988-04-01,153.2
1988-05-01,140.2
1988-06-01,150.2
1988-07-01,137.0
1988-08-01,136.8
1988-09-01,131.1
1988-10-01,135.1
1988-11-01,113.0
1988-12-01,94.2
1989-01-01,100.1
1989-02-01,85.8
1989-03-01,117.8
1989-04-01,129.4
1989-05-01,131.7
1989-06-01,143.2
1989-07-01,134.7
1989-08-01,122.4
1989-09-01,109.3
1989-10-01,130.1
1989-11-01,96.6
1989-12-01,75.0
1990-01-01,99.2
1990-02-01,86.9
1990-03-01,108.5
1990-04-01,119.0
1990-05-01,121.1
1990-06-01,117.8
1990-07-01,111.2
1990-08-01,102.8
1990-09-01,93.1
1990-10-01,94.2
1990-11-01,81.4
1990-12-01,57.4
1991-01-01,52.5
1991-02-01,59.1
1991-03-01,73.8
1991-04-01,99.7
1991-05-01,97.7
1991-06-01,103.4
1991-07-01,103.5
1991-08-01,94.7
1991-09-01,86.6
1991-10-01,101.8
1991-11-01,75.6
1991-12-01,65.6
1992-01-01,71.6
1992-02-01,78.8
1992-03-01,111.6
1992-04-01,107.6
1992-05-01,115.2
1992-06-01,117.8
1992-07-01,106.2
1992-08-01,109.9
1992-09-01,106.0
1992-10-01,111.8
1992-11-01,84.5
1992-12-01,78.6
1993-01-01,70.5
1993-02-01,74.6
1993-03-01,95.5
1993-04-01,117.8
1993-05-01,120.9
1993-06-01,128.5
1993-07-01,115.3
1993-08-01,121.8
1993-09-01,118.5
1993-10-01,123.3
1993-11-01,102.3
1993-12-01,98.7
1994-01-01,76.2
1994-02-01,83.5
1994-03-01,134.3
1994-04-01,137.6
1994-05-01,148.8
1994-06-01,136.4
1994-07-01,127.8
1994-08-01,139.8
1994-09-01,130.1
1994-10-01,130.6
1994-11-01,113.4
1994-12-01,98.5
1995-01-01,84.5
1995-02-01,81.6
1995-03-01,103.8
1995-04-01,116.9
1995-05-01,130.5
1995-06-01,123.4
1995-07-01,129.1
1995-08-01,135.8
1995-09-01,122.4
1995-10-01,126.2
